category,title,description,rationale,impact,recommendation
Filesystem Permissions,1.1.1.1 Ensure mounting of cramfs filesystems is disabled - lsmod,The 'cramfs' filesystem type is a compressed read-only Linux filesystem embedded in small footprint systems. A 'cramfs' image can be used without having to first decompress the image.,"Removing support for unneeded filesystem types reduces the local attack surface of the server. If this filesystem type is not needed, disable it.",,"Edit or create the file '/etc/modprobe.d/CIS.conf' and add the following line:

install cramfs /bin/true

Run the following command to unload the 'cramfs' module:

# rmmod cramfs"
Filesystem Permissions,1.1.1.2 Ensure mounting of freevxfs filesystems is disabled - lsmod,The 'freevxfs' filesystem type is a free version of the Veritas type filesystem. This is the primary filesystem type for HP-UX operating systems.,"Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.",,"Edit or create the file '/etc/modprobe.d/CIS.conf' and add the following line:

install freevxfs /bin/true

Run the following command to unload the 'freevxfs' module:

# rmmod freevxfs"
Filesystem Permissions,1.1.1.3 Ensure mounting of jffs2 filesystems is disabled - lsmod,The 'jffs2' (journaling flash filesystem 2) filesystem type is a log-structured filesystem used in flash memory devices.,"Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.",,"Edit or create the file '/etc/modprobe.d/CIS.conf' and add the following line:

install jffs2 /bin/true

Run the following command to unload the 'jffs2' module:

# rmmod jffs2"
Filesystem Permissions,1.1.1.4 Ensure mounting of hfs filesystems is disabled - lsmod,The 'hfs' filesystem type is a hierarchical filesystem that allows you to mount Mac OS filesystems.,"Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.",,"Edit or create the file '/etc/modprobe.d/CIS.conf' and add the following line:

install hfs /bin/true

Run the following command to unload the 'hfs' module:

# rmmod hfs"
Filesystem Permissions,1.1.1.5 Ensure mounting of hfsplus filesystems is disabled - lsmod,The 'hfsplus' filesystem type is a hierarchical filesystem designed to replace 'hfs' that allows you to mount Mac OS filesystems.,"Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.",,"Edit or create the file '/etc/modprobe.d/CIS.conf' and add the following line:

install hfsplus /bin/true

Run the following command to unload the 'hfsplus' module:

# rmmod hfsplus"
Filesystem Permissions,1.1.1.6 Ensure mounting of squashfs filesystems is disabled - modprobe,The 'squashfs' filesystem type is a compressed read-only Linux filesystem embedded in small footprint systems (similar to 'cramfs' ). A 'squashfs' image can be used without having to first decompress the image.,"Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.",,"Edit or create the file '/etc/modprobe.d/CIS.conf' and add the following line:

install squashfs /bin/true

Run the following command to unload the 'squashfs' module:

# rmmod squashfs"
Filesystem Permissions,1.1.1.7 Ensure mounting of udf filesystems is disabled - lsmod,The 'udf' filesystem type is the universal disk format used to implement ISO/IEC 13346 and ECMA-167 specifications. This is an open vendor filesystem type for data storage on a broad range of media. This filesystem type is necessary to support writing DVDs and newer optical disc formats.,"Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.",,"Edit or create the file '/etc/modprobe.d/CIS.conf' and add the following line:

install udf /bin/true

Run the following command to unload the 'udf' module:

# rmmod udf"
Filesystem Permissions,1.1.1.8 Ensure mounting of FAT filesystems is disabled,"The 'FAT' filesystem format is primarily used on older windows systems and portable USB drives or flash modules. It comes in three types 'FAT12' , 'FAT16' , and 'FAT32' all of which are supported by the 'vfat' kernel module.","Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.","FAT filesystems are often used on portable USB sticks and other flash media are commonly used to transfer files between workstations, removing VFAT support may prevent the ability to transfer files in this way.

Disabling the vfat module can prevent boot on UEFI systems.","Edit or create the file '/etc/modprobe.d/CIS.conf' and add the following line:

install vfat /bin/true

Run the following command to unload the 'vfat' module:

# rmmod vfat"
Filesystem Permissions,1.1.2 Ensure separate partition exists for /tmp,The '/tmp' directory is a world-writable directory used for temporary storage by all users and some applications.,"Since the '/tmp' directory is intended to be world-writable, there is a risk of resource exhaustion if it is not bound to a separate partition. In addition, making '/tmp' its own file system allows an administrator to set the 'noexec' option on the mount, making '/tmp' useless for an attacker to install executable code. It would also prevent an attacker from establishing a hardlink to a system 'setuid' program and wait for it to be updated. Once the program was updated, the hardlink would be broken and the attacker would have his own copy of the program. If the program happened to have a security vulnerability, the attacker could continue to exploit the known flaw.","Resizing filesystems is a common activity in cloud-hosted servers. Separate filesystem partitions may prevent successful resizing, or may require the installation of additional tools solely for the purpose of resizing operations. The use of these additional tools may introduce their own security considerations.","For new installations, during installation create a custom partition setup and specify a separate partition for '/tmp' .

For systems that were previously installed, create a new partition for '/tmp' if not using 'tmpfs' .

Run the following commands to enable systemd '/tmp' mounting:

systemctl unmask tmp.mount systemctl enable tmp.mount

Edit '/etc/systemd/system/local-fs.target.wants/tmp.mount' to configure the '/tmp' mount:

[Mount] What=tmpfs Where=/tmp Type=tmpfs Options=mode=1777,strictatime,noexec,nodev,nosuid"
Filesystem Permissions,1.1.3 Ensure nodev option set on /tmp partition,The 'nodev' mount option specifies that the filesystem cannot contain special devices.,"Since the '/tmp' filesystem is not intended to support devices, set this option to ensure that users cannot attempt to create block or character special devices in '/tmp' .",,"Edit '/etc/systemd/system/local-fs.target.wants/tmp.mount' to add 'nodev' to the '/tmp' mount options:

[Mount]
Options=mode=1777,strictatime,noexec,nodev,nosuid

Run the following command to remount '/tmp' :

# mount -o remount,nodev /tmp"
